account,name,link,keywords
@nicklotito@sciences.social,Nick Lotito,https://sciences.social/@nicklotito,international relations; Middle East politics; civil-military relations; violent extremism
@aehyvonen@climatejustice.social,Ari-Elmeri Hyvönen,https://climatejustice.social/@aehyvonen,Political Theory; democracy; ecological politics; resilience
@egtewinkel@nerdculture.de,Evert te Winkel,https://nerdculture.de/@egtewinkel,Militant groups; pragmatism; political religion/ religious politics; shifting alliances
@__queli@mas.to,Kelly Bauer,https://mas.to/@__queli,Latin America; Chilean politics; migration; identity politics; development; human rights
@laurajacobs@mastodon.online,Laura Jacobs,https://mastodon.online/@laurajacobs,Political communication; elections; public opinion; populism
@BenjaminHelms@econtwitter.net,Benjamin Helms,https://econtwitter.net/@BenjaminHelms,International political economy
@ChrisPolPsych@mastodon.social,Christopher Federico,https://mastodon.social/@ChrisPolPsych,political psychology; political behavior; belief systems
@benfifield@econtwitter.net,Ben Fifield,https://econtwitter.net/@benfifield,American politics; voting; redistricting; methods
@kstrump@sciences.social,Kris-Stella Trump,https://sciences.social/@kstrump,Political behavior; Political psychology; Economic inequality
@kexic98@nerdculture.de,Kexin,https://nerdculture.de/@kexic98,Democracy; energy and environmental policy; inequality; market
@RMTownsend@mastodon.social,Rebecca M. Townsend,https://mastodon.social/@RMTownsend,Political comm; rhetoric; culture; deliberation; town meeting; public engagement; Poland
@tschmidtke@sciences.social,Tobias Schmidtke,https://mas.to/@tschmidtke,International Relations
@kathlsullivan@mastodon.social,Kathleen Sullivan,https://mastodon.social/@Kathlsullivan,American political development; constitutional law
@fhollenbach@fediscience.org,Florian M Hollenbach,https://fediscience.org/@fhollenbach,money in politics; corruption; taxation; comparative political economy; statistical method
@roizur@mastodon.online,Roi Zur,https://mastodon.online/@roizur,Institutions; Political Parties; Behavior
@DToshkov@mastodon.sdf.org,Dimiter Toshkov,https://mastodon.sdf.org/@DToshkov,European integration; migration; public opinion; public policy; research methods
@anewq@mastodon.social,Alice el-Wakil,https://mastodon.social/@anewq,political theory; democracy; referendums; democratic innovations; representation
@MikeHabegger@politicalscience.social,Michael W. Habegger,https://politicalscience.social/@MikeHabegger,International Relations; Social media; computational social science
@cadida@fediscience.org,Claire Adida,https://fediscience.org/@cadida,Migration and ethnic politics; Comparative Politics; Discrimination
@xinhan@mas.to,Xin Han,https: //mas.to/@xinhan,Political Economy of Development; Digital Politics; Collaborative Governance; Public Admin
@fionabradley@fediscience.org,Fiona Bradley,https://fediscience.org/@fionabradley,IR; advocacy networks; technology; information; platform governance
@chadlevinson@mastodon.online,Chad Levinson,https://mastadon.online/@chadlevinson,US presidency; national security politics; interest groups; think tanks; propaganda
@michelefenzl@mastodon.social,Michele Fenzl,https://mastodon.social/@michelefenzl#,Political economy; inequality; political behaviour; EU politics; comparative institutions
@andrewreeves@mastodon.social,Andrew Reeves,https://mastodon.social/@andrewreeves,Election; presidency; representation
@raphaelm@journa.host,Raphaël Martin-Melizi,https://journa.host/@raphaelm,Sociology; gender; digital; sexuality
@PopovaProf@russiaukraine.world,Maria Popova,https://russiaukraine.world/@PopovaProf,Comparative Politics; Democracy; Rule of Law; Corruption; Ukraine; Russia; Bulgaria; EU
@LPrather@econtwitter.net,Lauren Prather,https://econtwitter.net/@LPrather,international relations; public opinion; elections; migration; foreign aid
@svmiller@mastodon.social,Steven V. Miller,https://mastodon.social/@svmiller,International relations; conflict; public opinion; support for democracy/authoritarianism
@fhq@mas.to,Josh Putnam,https://mas.to/@fhq,American politics; campaigns and elections; presidential nominations; delegate selection
@astephenson@econtwitter.net,Alex Stephenson,https://econtwitter.net/@astephenson,formal theory; policing; race and ethnic politics
@DrAndrewFlores@mastodon.social,Andrew R. Flores,https://mastodon.social/@DrAndrewFlores,American political behavior; lgbtq politics
@chadrector@mastodon.online,Chad Rector,https://mastodon.online/@chadrector,International organization; East Asia
@michael_p_olson@mastodon.social,Michael Olson,https://mastodon.social/@michael_p_olson,Legislative institutions; voting rights; American state politics
@matthindman@mastodon.social,Matt Hindman,HTTPS://mastodon.social/@matthindman,Political communication; Internet politics; online political behavior;
@dov_levin@mastodon.online,Dov H. Levin,https://mastodon.online/@dov_levin,International Relations; Foreign election interference; covert ops; public diplomacy
@ashleygjovik@mstdn.social,Ashley M. Gjøvik,https://mstdn.social/@ashleygjovik,Human Rights; Transitional Justice; Sovereignty Disputes; Legal Accountability for MNCs
@Liamerivaki@mastodon.social,Lia Merivaki,https://mastodon.social/@Liamerivaki,Election science; political behavior; voter education
@BrittanyRLeach@mastodon.world,Brittany Leach,https://mastodon.world/@BrittanyRLeach,Political theory; feminist theory; reproductive freedom & justice; intersectionality; law
@james_p_allan@mstdn.social,James P. Allan,https://mstdn.social/@james_p_allan,Comparative politics; political economy
@ANosthoff@mastodon.social,Anna-Verena Nosthoff,https://mastodon.social/@ANosthoff,politics of technology; political targeting; political theory of digitization
@SibelOktay@mastodon.social,Sibel Oktay,https://mastodon.social/@sibeloktay,International Relations; Foreign Policy
@Clare_Rice_@mastodon.online,Clare Rice,Https://mastodon.online/@Clare_Rice_,Power-sharing; institutions; devolution; Northern Ireland; ethnic politics; constitutions
@pavlosvas1@sciences.social,Pavlos Vasilopoulos,https://sciences.social/@pavlosvas1,behavior; political psychology; elections; comparative politics
@wahlforscher@social.anoxinon.de,Andreas M. Wüst,https://social.anoxinon.de/@wahlforscher,elections; representation; immigration; integration; surveys
@rida@sciences.social,Rida Abu Rass,https://sciences.social/@rida,Social movements; comparative politics; nationalism; ethnicity and race.
@smotus@mastodon.social,Seth Masket,https://mastodon.social/@smotus,American political parties; party nominations; polarization; state politics
@jaakko@econtwitter.net,Jaakko Meriläinen,https://econtwitter.net/@jaakko,Political economy
@LizaMugge@akademienl.social,Liza Mügge,https://akademienl.social/@LizaMugge,Political Representation; intersectionality; gender; equality; transnationalism
@michaelflynn@fosstodon.org,Michael Flynn,https://fosstodon.org/@michaelflynn,International Relations; foreign policy; military deployments; statistics
@JasFitzpatrick@mas.to,Jasmin Fitzpatrick,https://mas.to/@JasFitzpatrick,Political Organization; Communication; Participation; internet & politics; digitalization
@NinaReiners@mas.to,Nina Reiners,https://mas.to/@NinaReiners,International Relations; human rights; United Nations; international law; experts
@guygrossman@mastodon.social,Guy Grossman,https://mastodon.social/@guygrossman,
@janlo@mastodon.social,Jan Lorenz,https://mastodon.social/@janlo,Opinion Dynamics; Polarization; Agent-based modeling
@jamesigoewalsh@mastodon.social,James Igoe Walsh,https://mastodon.social/@jamesigoewalsh,Conflict; displacement; social preferences
@gessler@fediscience.org,Theresa Gessler,https://fediscience.org/@gessler,democracy; immigration; parties; political behavior; text as data
@rdanielkelemen@eupolicy.social,R. Daniel Kelemen,https://eupolicy.social/@rdanielkelemen,European Politics; Comparative Politics; Law and Politics; European Union Politics
@sdpick@mas.to,Steve Pickering,https://mas.to/@sdpick,international relations; conflict; geospatial trust; covid; fish and chips; brexit
@darinself@sciences.social,Darin Self,https://sciences.social/@darinself,Comparative Democracy and Authoritarianism; party systems; civ-mil relations
@svencho@mastodon.social,Sven Chojnacki,http://mastodon.social/@svencho,peace research; conflict studies; migration; securitization; dual use
@RyanGrauer@mastodon.social,Ryan Grauer,https://mastodon.social/@RyanGrauerr,International security; military power; battlefield coalitions; civil-military relations
@conflictgeo@mastodon.social,Adam Moore,https://mastodon.social/@conflictgeo,Political Violence; U.S. Military; Peacebuilding; Geopolitics
@Prof_Mirya@mastodon.social,Mirya Holman,https://mastodon.social/@Prof_Mirya,Gender and politics; local politics
@kumar@sciences.social,Kumar Ramanathan,https://sciences.social/@kumar,American politics; race and ethnicity; law; public policy; American political development
@gngeorgarakis@mastodon.social,George Georgarakis,https://mastodon.social/@gngeorgarakis,Political behavior; political psychology; public opinion; communication; experiments
@tomsclark@mastodon.social,Tom Clark,https://mastodon.social/@tomsclark,judicial politics; policing
@KyleReedPhD@mastodon.social,Kyle Reed,https://mastodon.social/@KyleReedPhD,International relations; international law; human rights
@matzefrey@digitalcourage.social,Matthias Frey,https://digitalcourage.social/@matzefrey,Party Politics; Comparative Politics; Text Analysis; Parliamentary speeches
@elifcance@mastodon.online,Elifcan Celebi,https://mastodon.online/@elifcance,Political Economy; Gender; Democracy; Civil Society; Comparative Policy
@sierradavisthomander@sciences.social,Sierra Davis Thomander,https://sciences.social/@sierradavisthomander,Gender and politics; political behavior; survey methods
@markchand@mastodon.social,Mark C. Hand,https://mastodon.social/@Markchand,Workplace democracy; political campaigns; organizational theory;
@drjennings@mastodon.social,Will Jennings,https://mastodon.social/@drjennings,Political behaviour; public opinion; public policy; comparative and British politics
@sumitapahwa@mstdn.social,Sumita Pahw,https://mstdn.social/@sumitapahwa,Interpretive methods; Islamic activism; South Asia; Middle East; Social Movements
@maxchervaux@indieweb.social,Maxime Chervaux,https://indieweb.social/@maxchervaux,American Politics; Electoral Geography; Geopolitics; American Political Development
@dannagal@mastodon.social,Dannagal Young,https://mastodon.social/@dannagal,Political communication; misinformation; political psychology; media psychology
@GalenStocking@mastodon.social,Galen Stocking,https://mastodon.social/@GalenStocking,Political Communication; US Politics; Political Representation
@martinottmann@fediscience.org,Martin Ottmann,https://fediscience.org/@martinottmann,civil war; peace processes; post-conflict development
@twasmegan@mastodon.social,Megan Gallagher,https://mastodon.social/@twasmegan,political theory; history of political thought; feminist theory
@mirandayaver@mastodon.social,Miranda Yaver,https://mastodon.social/@mirandayaver,American law; health policy; policy implementation
@stevebholt@sciences.social,Stephen B. Holt,https://sciences.social/@stevebholt,Bureaucracy; behavior; public administration
@timmodel@sciences.social,Tim Model,https://sciences.social/@timmodel,Comparative Politics; Political Economy; Authoritarianism; Corruption; Russian Politics
@michaelgreig@sciences.social,Michael Greig,https://sciences.social/@michaelgreig,International relations; conflict; conflict management; civil wars; interstate wars
@o_garcia_ponce@mastodon.social,Omar García-Ponce,https://mastodon.social/@o_garcia_ponce,Political Economy of Development; Political Violence; Organized Crime; Political Behavior
@kamran_hakiman@mastodon.online,Kamran Hakiman,https://mastodon.online/@kamran_hakiman,normative conceptions of government; democratic transitions; collective action
@breunig@mstdn.social,Christian Breunig,https://mstdn.social/@breunig,
@faiwasimon@mastodon.social,Fai/Wasimon Tosuratana,https://mastodon.social/@faiwasimon,policy process; bureaucracy; and public engagement in hybrid regimes
@tiagomramalho@mastodon.social,Tiago Moreira Ramalho,https://mastodon.social/@tiagomramalho,EU Studies; Political Economy & Just Transition
@FrankGootjes@akademienl.social,Frank Gootjes,https://akademienl.social/@FrankGootjes,Political psychologist investigating attitudes and emotions about society and its future
@LAbdelaaty@mas.to,Lamis Abdelaaty,https://mas.to/@LAbdelaaty,IR; Refugees; Human rights
@StevenMichels@mstdn.social,Steven Michels,https://mstdn.social/@StevenMichels,Political theory; democracy; economy; higher ed
@poliscisara@mastodon.social,Sara Chatfield,https://mastodon.social/@poliscisara,Gender and politics; American political development; state politics; behavior; courts
@cobrienudry@fediscience.org,Cleo O'Brien-Udry,https://fediscience.org/@cobrienudry,IPE; foreign aid; international status
@vicentevalentim@mastodon.online,Vicente Valentim,https://mastodon.online/@vicentevalentim,Comparative politics; political behaviour; social norms
@ProfHansNoel@mastodon.social,Hans Noel,https://mastodon.social/@ProfHansNoel,political parties; ideology; elections; democracy; U.S. pres. nominations; methods
@joechrisp@mastodon.world,Joe Chrisp,https://mastodon.world/@joechrisp,Political economy; Welfare states; Age divide; UBI
@uweremer@fediscience.org,Uwe Remer,https://fediscience.org/@uweremer,computational social science; attitudes; voting behaviour; citizen participation;
@allisonwkoh@mastodon.social,Allison Koh,https://mastodon.social/@allisonwkoh,social media; disinformation; repression; computational social science
@sabriciftci@sciences.social,Sabri Ciftci,https://sciences.social/@sabriciftci,Middle East; Religion; Islam and Democracy; Turkish Politics; Turkish Foreign Policy
@NathanKalmoe@mastodon.social,Nathan Kalmoe,https://mastodon.social/@NathanKalmoe,American politics; public opinion; psychology; history; communication; parties; democracy
@timothysrich@mastodon.sdf.org,Timothy S. Rich,https://mastodon.sdf.org/@timothysrich,public opinion; electoral politics; comparative politics; East Asia; Taiwan; South Korea
@bridgetbarrett@sciences.social,Bridget Barrett,https://sciences.social/@bridgetbarrett,Electoral politics; political communication; political advertising
@Mourycatherine@mastodon.social,Catherine Moury,https://mastodon.social/@Mourycatherine,Governments and Public Policy; right now: prevention and long-term policy
@williamlallen@mastodon.social,Will Allen,https://mastodon.social/@williamlallen,Immigration; refugees; public opinion; political communication; experiments
@pedrofrpereira@mastodon.online,Pedro Rebelo Pereira,https://mastodon.online/@pedrofrpereira,science communication; scicom; journalism; politics
@ics_ulisboa@mas.to,ICS-ULisboa,https://mas.to/@ics_ulisboa,Social sciences; portuguese research center
@andrew@fediscience.org,Andrew Heiss,https://fediscience.org/@andrew,International relations; comparative politics; public policy; human rights; civil society
@JuanDGut@dair-community.social,Juan David Gutiérrez,https://dair-community.social/@JuanDGut,public policy; public administration; artificial intelligence; digital transformation
@DrKWassel@fediscience.org,Kate Wassel,https://fediscience.org/@DrKWassel,Public policy; Sustainability; Equity; Governance; Food Systems
@SLdeLange@akademienl.social,Sarah de Lange,https://akademienl.social/@SLdeLange,Comparative politics Political Parties Populism
@AnneliseR@mastodon.social,Annelise Russell,https.//mastodon.social/@AnneliseR,Legislative institutions; Political Communication; Digital
@rydgren@sciences.social,Jens Rydgren,https://sciences.social/@rydgren,Populism; radical right; party politics
@matt_blackwell@mastodon.social,Matt Blackwell,https://mastodon.social/@matt_blackwell,Political Methodology; American Politics
@fgilardi@mastodon.social,Fabrizio Gilardi,https://mastodon.social/@fgilardi,Digital technology & politics; public policy; policy analysis
@alasdairroberts@mastodon.social,Alasdair Roberts,https://mastodon.social/@alasdairroberts,
@pschuetze@mastodon.social,Paul Schütze,https://mastodon.social/@pschuetze,AI; Digital Society; Digital Capitalism; Digital Colonialism
@retobuergisser@mstdn.social,Reto Bürgisser,https://mstdn.social/@retobuergisser,Political economy; comparative politics; political behavior
@Hannahwerner@mastodon.social,Hannah Werner,https://mastodon.social/@Hannahwerner,Political Behavior; Climate Change; Democratic Innovation; Legitimacy; Fairness
@PolComm@mastodon.social,APSA&ICA Political Communication Divisions,https://mastodon.social/@PolComm,Political Communication; Publications; Jobs; CfPs; Conference infos
@qrdknpfr@mastodon.online,Curd Knüpfer,https://mastodon.social/@qrdknpfr,political communication; right-wing media; transnational publics
@emiliano@mastodon.zaclys.com,Emiliano Grossman,https://mastodon.zaclys.com/@emiliano,Agenda-setting; Comparative Politics; Media; mostly Western Europe.
@stu@mastodon.ie,Stuart Shulman,https://mastodon.ie/@stu,American politics; Twitter; bots and trolls; QAnon; election interference; Trumpism
@TomTheuns@akademienl.social,Tom Theuns,https://akademienl.social/@TomTheuns,Political Theory; European Union; Democratic Theory
@greenez@mastodon.scot,Zac Greene,https://mastodon.scot/@greenez,Comparative Politics; Political Parties; Text Analysis; Machine Learning
@kaiarzheimer@fediscience.org,Kai Arzheimer,https://fediscience.org/@kaiarzheimer,parties; elections; attitudes; behaviour | right-wing extremism/populism/radicalism
@thosjleeper@mastodon.social,Thomas Leeper,https://mastodon.social/@thosjleeper,methodology; machine learning; causal inference; political behavior
@M_B_Petersen@fediscience.org,Michael Bang Petersen,https://fediscience.org/@M_B_Petersen,Political psychology; COVID-19; social media; violence; democratic instability
@draliceevans@mastodon.social,Alice Evans,https://mastodon.social/@draliceevans,Patriarchy!
@JochenRehmert@norden.social,Jochen Rehmert,https://norden.social/@JochenRehmert,Postdoc; Comparative Politics; Candidate Selection; Legislative & Japanese Politics
@hearson@mas.to,Martin Hearson,https://mas.to/@hearson,International political economy; development; foreign direct investment; taxation
@meiners@mastodon.cloud,Paul Meiners,https://mastodon.cloud/@meiners,International Cooperation; Political Psychology; European Union
@floriangkern@mastodon.social,Florian G. Kern,https://mastodon.social/@floriangkern,Comparative politics; mixed methods; political economy of development; African politics
@eborbath@econtwitter.net,Endre Borbáth,https://econtwitter.net/@eborbath,Political parties; social movements; protests; Europe; political participation
@matthiess@mastodon.social,Theres Matthieß,https://mastodon.social/@matthiess,Political representation; parties; voting; electoral promises; inequality
@beancook@mastodon.online,Alistair D B Cook,https://mastodon.online/@beancook,Humanitarian affairs; disasters; conflicts; regional cooperation; ASEAN; Asia-Pacific
@damoncroberts@mastodon.social,Damon C Roberts,https://mastodon.social/@damoncroberts,political Psychology; Political communication; gender; and racial identity
@dorssom@sciences.social,Elizabeth Dorssom,https://sciences.social/@dorssom,American Political economy and political institutions
@joostvanspanje@mastodon.online,Joost van Spanje,https://mastodon.online/@joostvanspanje,parties; elections; media
@gsasso@mastodon.social,Greg Sasso,https://mastodon.social/@gsasso,Elections and voting right; bureaucracy; judicial politics; formal theory
@DrBenjaminHabib@aus.social,Ben Habib,https://aus.social/@DrBenjaminHabib,International Relations; North Korea; Climate change; Neurodiversity
@BlairWilliams26@aus.social,Blair Williams,https://aus.social/@BlairWilliams26,Gender politics; Australian politics; media; news; leaders; women politicians; feminism
@terrigivens@mastodonapp.uk,Terri Givens,https://mastodonapp.uk/@terrigivens,European Politics
@profmlremmel@mas.to,Megan Remmel,https://mas.to/@profmlremmel,Personality; legislative behavior; moving into local politics
@marcmartorell@mastodon.online,Marc Martorell Junyent,https://mastodon.online/@marcmartorell,Middle East Politics and History; IR; rebel governance
@dscagle@mastodon.sdf.org,Drew Cagle,https://mastodon.sdf.org/@dscagle,American Politics; Political Psychology; Political Behavior; Experimental Methods
@DrLinaB@mastodon.social,Lina Benabdallah,HTTPS://mastodon.social/@DrLinaB,Global politics
@MedDhiaH@sciences.social,Mohamed Dhia Hammami,https://sciences.social/@meddhiah,democracy; authoritarianism; elites; security studies; MENA politics;
@philliplipscy@fediscience.org,Phillip Lipscy,https://fediscience.org/@philliplipscy,International relations; political economy; international organization; environment; Japan
@amilliff@fediscience.org,Aidan Milliff,https://fediscience.org/@amilliff,Political Violence; South Asia; Emotions; Conflict
@prisonrodeo@mastodon.social,Christopher Zorn,https://mastodon.social/@prisonrodeo,Methodology; courts; law; judicial politics
@ProfLupton@mastodon.social,Danielle Lupton,https://mastodon.social/@ProfLupton,IR; Security; Foreign Policy; Political Elites; International Conflict; Military
@robertlepenies@mastodon.social,Robert Lepenies,https://mastodon.social/@robertlepenies,Ethics; Public Policy; Nudging; United Nations; Sustainability; Science
@kevintmorris@mastodon.social,Kevin Morris,https://mastodon.social/@KevinTMorris,Voting; Democracy; Elections; Criminal legal system
@lander@mastodon.green,Lander Goossens,https://mastodon.green/@lander,I am still a student at university. My interests are international relations; int. law
@FionaAdamson@mastodon.me.uk,Fiona B. Adamson,https://mastodon.me.uk/@FionaAdamson,International Relations; Migration; Diaspora; Peace and Security; Transnationalism
@melissabaker@mastodon.social,Melissa Baker,http://mastodon.social/@melissabaker,Political psychology; political behavior; methodology; information engagement
@AnnaGBusse@mas.to,Anna Grzymala-Busse,https://mas.to/@AnnaGBusse,religion and politics; the state; Europe; erosion of democracy
@VerglPolwi@mastodon.social,Armin Schäfer,https://mastodon.social/@VerglPolwi,Political inequality; representation; voter turnout; comparative politics
@oyvindbs@nerdculture.de,Øyvind Bugge Solheim,https://nerdculture.de/@oyvindbs,Far-right; social media; political behavior and terrorism
@AngieMaxwell@mastodon.online,Angie Maxwell,https://mastodon.online/@AngieMaxwell,Southern Politics; Gender and Politics; Public Opinion
@PaulSpicker@sciences.social,Paul Spicker,https://sciences.social/@PaulSpicker,Social policy; welfare state; public services
@jonmladd@mastodon.social,Jonathan Ladd,https://mastodon.social/@jonmladd,American Politics; Mass-Level Political Behavior; Political Communication
@q@mastodon.scot,Q Manivannan,https://mastodon.scot/@q,peacebuilding; care; grief; protests; political action; conflict
@jochemvnoord@mastodon.social,Jochem van Noord,https://mastodon.social/@jochemvnoord,political sociology; political psychology; education; social identity; group conflict
@jimtwombly@c.im,Jim Twombly,https://c.im/@jimtwombly,American Politics; institutions; presidency; public policy; public administration
@howlettm@mastodon.social,Howlettm,Https://mastodon.social/@howlettm,Public Policy and Administration
@AmritaNarlikar@mastodon.social,Amrita Narlikar,https://mastodon.social/@AmritaNarlikar,IR; International Political Economy; Foreign Policy; Negotiation; trade politics; India
@JBGruber@fosstodon.org,Johannes B. Gruber,https://fosstodon.org/@JBGruber,Political Communication
@sarangshah@mastodon.social,Sarang Shah,https://mastodon.social/@sarangshah,governance; law; political economy; democracy; history; philosophy of science
@JapanProf@mastodon.social,Margarita Estévez-Abe,https://mastodon.social/@JapanProf,Comparative Politics (Europe & E. Asia);  Varieties of Welfare States/Capitalism; Gender
@Carloprato@mastodon.social,Carlo Prato,https://mastodon.social/@Carloprato,Political Economy; Formal Political Theory; Electoral Systems; Comparative Politics
@cautiousoptimist@mstdn.social,Golrokh,https://mstdn.social/@cautiousoptimist,Middle East Politics; Social Movements; Labor and Trade Unions
@cmhenry_@mas.to,Colin Henry,https://mas.to/@cmhenry_,Political violence; online extremism; terrorism; cults; network analysis; machine learning
@micastre@mastodon.online,Michael A. Strebel,https://mastodon.online/@micastre,Political behavior; democratic legitimacy; local and urban governance
@davegraham@fediscience.org,Dave Graham,https://fediscience.org/@davegraham,agonism; adversarial behaviour; social transformation; information transfer
@RobinLTurnerPhD@mstdn.social,Robin L. Turner,https://mstdn.social/@RobinLTurnerPhD,Comparative; southern Africa; property; tradition; natural resources; gender
@ScottFAbramson@mastodon.coffee,Scott Abramson,https://mastodon.coffee/@ScottFAbramson,IR/CP
@stefanmueller@mastodon.social,Stefan Müller,https://mastodon.social/@stefanmueller,Representation; political communication; public opinion; text analysis
@argohdes@mastodon.social,Anita Gohdes,https://mastodon.social/@argohdes,international relations; social media; cyber; conflict; repression
@philjones@mastodon.social,Phil Jones,https://mastodon.social/@philjones,LGBTQ politics; Public opinion; Voting
@hzbrandenburg@ieji.de,Heinz Brandenburg,https://ieji.de/@hzbrandenburg,Elections; voting; political communication
@bschlipphak@fediscience.org,Bernd Schliphhak,https://fediscience.org/@bschlipphak,political communication; political psychology; international relations
@ioantrifu@mstdn.jp,Ioan Trifu,https://mstdn.jp/@ioantrifu,Japanese politics and political history; Cultural heritage; Disaster; Climate change
@flavioazevedo@mastodon.social,Flavio Azevedo,https://mastodon.social/@flavioazevedo,Political Behavior; Public Opinion; Political Psychology; American Politics; Ideology
@sebkoehle@mastodon.online,Sebastian Koehler,https://mastodon.online/@sebkoehle,Political Economy; Legislative Politics; Lobbying; Institutions; Political Decision-making
@catarinaleao@mastodon.online,Catarina Leão,https://mastodon.online/@catarinaleao,Political Economy; Democratization; Autocratic Legacies; Extremism; Party Systems
@ChrisLamont@mstdn.jp,Chris Lamont,https://mstdn.jp/@ChrisLamont,International Relations; Human Rights
@percepticon@ioc.exchange,Matthias Schulze,https://ioc.exchange/@percepticon,International relations; cyber conflict; cyber security; disinformation
@aziel@mastodon.green,Anna C. Zielinska,https://mastodon.green/@aziel,Global justice; legal positivism; populisms; queer international relations
@mattmotta@mastodon.social,Matt Motta,https://mastodon.social/@mattmotta,Political Psychology; Public Opinion; Health Policy; Misinformation; Health Communication;
@Miweintraub83@econtwitter.net,Michael Weintraub,https://econtwitter.net/@Miweintraub83,Comparative politics; crime; civil war; experiments; surveys
@thomasvargas@fediscience.org,Thomas Vargas,https://fediscience.org/@thomasvargas,Comparative Politics; Political Economy; Misinformation
@carlmc@mas.to,Carl Müller-Crepon,https://mas.to/@carlmc,conflict; state building; ethnicity; GIS; history; Africa
@JessGifkins@mastodon.social,Dr Jess Gifkins,http://mastodon.social/@JessGifkins,International relations; United Nations; R2P; practices; LGBTQI+; early warning
@Prof_BearB@mastodon.social,Bear F. Braumoeller,https://mastodon.social/@Prof_BearB,Computational social science; international order and conflict; political methodology
@waffle@mas.to,Ivy Orr Hamerly,https://mas.to/@waffle,Comparative Politics; parliamentary institutions; oversight; democratic legitimacy; Europe
@johsvogel@scholar.social,Johannes S. Vogel,https://scholar.social/@johsvogel,Discourse; Poststructuralism; Mixed Methods; Text Analysis; Climate; Development; Cambodia
@javier_carbonell@econtwitter.net,Javier Carbonell,https://econtwitter.net/@javier_carbonell,Comparative politics; nationalism; mainstream parties; far-right; inequality; IR Theory
@BenCrum@mastodon.social,Ben Crum,https://mastodon.social/@BenCrum,Democratic theory; European Union institutions; International political theory;Parliaments
@williamcallison@econtwitter.net,William Callison,https://econtwitter.net/@williamcallison,Political Theory
@borisheersink@sciences.social,Boris Heersink,https://sciences.social/@borisheersink,American politics (American Political Development; Political Parties; Campaigns)
@fgenovese@mastodon.social,Federica Genovese,Https://mastodon.social/@fgenovese,Political economy
@Emmac@Mastodon.uno,Cecilia Emma Sottilotta,https://mastodon.uno/@EmmaC,political risk; EU; European politics; Italian politics;Latin American politics
@hanfling@mastodon.social,Eyal Hanfling,https://mastodon.social/@hanfling,South Asia; political violence; ethnic politics; social media
@VSapiro@mastodon.social,Virginia Sapiro,HTTPS://mastodon.social/@VSapiro,Political psychology; gender politics; higher education; U.S. politics
@sandipto@mstdn.social,Sandipto Dasgupta,https://mstdn.social/@sandipto,Political Theory; History of Political Thought; Decolonization; Law; South Asia
@mareksteedman@mstdn.social,Marek Steedman,https://mstdn.social/@mareksteedman,Political theory
@mjb@sciences.social,Mark Brandt,https://sciences.social/@mjb,Political Psychology; Belief Systems
@markvicol@mastodon.social,Mark Vicol,https://mastodon.social/@markvicol,Agrarian political economy; rural politics; agricultural markets
@pierotortola@mastodon.uno,Piero Tortola,https://mastodon.uno/@pierotortola,European integration; state theory; institutionalism; technocracy.
@mysterio@mastodon.com.tr,Gizem Kaftan,https://mastodon.com.tr/@mysterio,Populism; European Union politics; Poland; Hungary; Quantitative Methods
@egojunk@mstdn.social,Eric Gonzalez Juenke,https://mstdn.social/@egojunk,Elections; Race; Ethnicity; U.S. Politics; Latinx Politics; Chicanx Politics
@valescal@mastodon.sdf.org,Valesca Lima,https://mastodon.sdf.org/@valescal,Participatory Democracy  Governance  Housing policy Participation
@alesojka@mastodon.green,Aleksandra Sojka,https://mastodon.green/@alesojka,politics; political sociology; public opinion of European Union & Europe
@mario_angst_sci@fediscience.org,Mario Angst,https://fediscience.org/@mario_angst_sci,Governance; Networks; Sustainability; Digitalization
@Jrhopkin@econtwitter.net,Jonathan Hopkin,https://econtwitter.net/@Jrhopkin,Political Economy; Europe; Party Politics
@guipeti@sciences.social,Guillaume Petit,https://sciences.social/@guipeti,Democracy ; political participation ; institutions ; political field ; critical citizens
@cycheng0627@fediscience.org,Chao-yo Cheng,https://fediscience.org/@cycheng0627,Political economy of development and institutions; race and ethnicity; Asian politics
@ortutt@mastodon.social,Or Tuttnauer,https://mastodon.social/@ortutt,Parliaments; political parties; electoral behavior
@MaureenEger@sciences.social,Maureen A. Eger,https://sciences.social/@MaureenEger,Immigration; Nationalism; Radical Right; Welfare State; Public opinion
@kamil_bernaerts@fediscience.org,Kamil Bernaerts,https://fediscience.org/@kamil_bernaerts,“Polarization”; “democracy”; “conflict”
@mattiaguidi@mastodon.uno,Mattia Guidi,https://mastodon.uno/@mattiaguidi,Global Political Economy; Comparative Political Economy; EU Politics
@conjugateprior@colliderbias.net,Will Lowe,https://colliderbias.net/@conjugateprior,Methodology; Text analysis; Causal inference; Legislative politics; Political economy
@rebeccagill@mas.to,Rebecca Gill,https://mas.to/@rebeccagill,Law & Courts; American Politics; Nevada Politics
@jessicacalarco@mastodon.social,Jess Calarco,https://mastodon.social/@jessicacalarco,inequality; social policy; families; schools
@thinkwoodist@econtwitter.net,James Wood,https://econtwitter.net/@thinkwoodist,financialization; crisis construction; Comparative Political Economy
@se_parkinson@mstdn.social,Sarah E. Parkinson,https://mstdn.social/@se_parkinson,MENA; organizations; disasters; violence; ethics; qualitative methods
@miket_32@mastodon.social,Mike Thompson-Brusstar,https://mastodon.social/@miket_32,Chinese politics; bureaucracy; text as data
